<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20130523;000000;105.5500000
SBER;D;20130524;000000;103.0800000
SBER;D;20130527;000000;102.8700000
SBER;D;20130528;000000;104.1000000
SBER;D;20130529;000000;99.9600000
SBER;D;20130530;000000;100.0700000
SBER;D;20130531;000000;99.0500000
SBER;D;20130603;000000;98.7000000
SBER;D;20130604;000000;98.7900000
SBER;D;20130605;000000;97.5000000
SBER;D;20130606;000000;96.8000000
SBER;D;20130607;000000;99.2000000
SBER;D;20130610;000000;97.8000000
SBER;D;20130611;000000;94.6600000
SBER;D;20130613;000000;91.7700000
SBER;D;20130614;000000;93.7000000
SBER;D;20130617;000000;95.6400000
SBER;D;20130618;000000;96.3700000
SBER;D;20130619;000000;94.5700000
SBER;D;20130620;000000;91.3000000
SBER;D;20130621;000000;91.5000000
SBER;D;20130624;000000;88.8800000
SBER;D;20130625;000000;89.5700000
SBER;D;20130626;000000;92.5100000
SBER;D;20130627;000000;93.2400000
SBER;D;20130628;000000;93.6800000
SBER;D;20130701;000000;95.4200000
SBER;D;20130702;000000;94.8000000
SBER;D;20130703;000000;93.0400000
SBER;D;20130704;000000;93.9500000
SBER;D;20130705;000000;93.2000000
SBER;D;20130708;000000;92.8400000
SBER;D;20130709;000000;92.3900000
SBER;D;20130710;000000;91.1400000
SBER;D;20130711;000000;95.5100000
SBER;D;20130712;000000;98.5700000
SBER;D;20130715;000000;99.9000000
SBER;D;20130716;000000;99.4700000
SBER;D;20130717;000000;101.1500000
SBER;D;20130718;000000;98.3900000
SBER;D;20130719;000000;99.9900000
SBER;D;20130722;000000;97.7700000
SBER;D;20130723;000000;96.8500000
SBER;D;20130724;000000;96.4600000
SBER;D;20130725;000000;95.7700000
SBER;D;20130726;000000;94.8100000
SBER;D;20130729;000000;94.2800000
SBER;D;20130730;000000;94.0600000
SBER;D;20130731;000000;95.2300000
SBER;D;20130801;000000;96.8400000
SBER;D;20130802;000000;96.9900000
SBER;D;20130805;000000;96.2200000
SBER;D;20130806;000000;94.7100000
SBER;D;20130807;000000;94.4100000
SBER;D;20130808;000000;94.0200000
SBER;D;20130809;000000;95.7000000
SBER;D;20130812;000000;96.2400000
SBER;D;20130813;000000;97.3900000
SBER;D;20130814;000000;98.0000000
SBER;D;20130815;000000;95.4200000
SBER;D;20130816;000000;93.8000000
SBER;D;20130819;000000;93.6000000
SBER;D;20130820;000000;91.7500000
SBER;D;20130821;000000;90.6300000
SBER;D;20130822;000000;92.0800000
SBER;D;20130823;000000;91.9100000
SBER;D;20130826;000000;91.2900000
SBER;D;20130827;000000;90.0600000
SBER;D;20130828;000000;89.3900000
SBER;D;20130829;000000;89.8200000
SBER;D;20130830;000000;88.2300000
SBER;D;20130902;000000;89.4800000
SBER;D;20130903;000000;90.4500000
SBER;D;20130904;000000;90.3300000
SBER;D;20130905;000000;92.7800000
SBER;D;20130906;000000;92.4700000
SBER;D;20130909;000000;94.8100000
SBER;D;20130910;000000;96.5500000
SBER;D;20130911;000000;95.5000000
SBER;D;20130912;000000;95.5300000
SBER;D;20130913;000000;95.8200000
SBER;D;20130916;000000;98.9700000
SBER;D;20130917;000000;99.6000000
SBER;D;20130918;000000;99.7900000
SBER;D;20130919;000000;102.3300000
SBER;D;20130920;000000;102.3600000
SBER;D;20130923;000000;101.8200000
SBER;D;20130924;000000;100.5000000
SBER;D;20130925;000000;101.9500000
SBER;D;20130926;000000;101.6700000
SBER;D;20130927;000000;98.5900000
SBER;D;20130930;000000;97.8600000
SBER;D;20131001;000000;99.1600000
SBER;D;20131002;000000;97.7400000
SBER;D;20131003;000000;98.2400000
SBER;D;20131004;000000;100.3900000
SBER;D;20131007;000000;100.3000000
SBER;D;20131008;000000;102.1100000
SBER;D;20131009;000000;101.4800000
SBER;D;20131010;000000;103.4300000
SBER;D;20131011;000000;102.8700000
SBER;D;20131014;000000;102.9300000
SBER;D;20131015;000000;104.5500000
SBER;D;20131016;000000;104.0500000
SBER;D;20131017;000000;103.3300000
SBER;D;20131018;000000;105.1400000
SBER;D;20131021;000000;105.4300000
SBER;D;20131022;000000;105.4000000
SBER;D;20131023;000000;103.2900000
SBER;D;20131024;000000;102.8600000
SBER;D;20131025;000000;102.9900000
SBER;D;20131028;000000;102.8400000
SBER;D;20131029;000000;102.8000000
SBER;D;20131030;000000;103.1100000
SBER;D;20131031;000000;102.7400000
SBER;D;20131101;000000;103.6500000
SBER;D;20131105;000000;102.4700000
SBER;D;20131106;000000;102.5900000
SBER;D;20131107;000000;103.5500000
SBER;D;20131108;000000;101.8600000
